"Step","zesty-sweep-5 - epoch","zesty-sweep-5 - epoch__MIN","zesty-sweep-5 - epoch__MAX","wobbly-sweep-4 - epoch","wobbly-sweep-4 - epoch__MIN","wobbly-sweep-4 - epoch__MAX","graceful-sweep-3 - epoch","graceful-sweep-3 - epoch__MIN","graceful-sweep-3 - epoch__MAX","astral-sweep-2 - epoch","astral-sweep-2 - epoch__MIN","astral-sweep-2 - epoch__MAX","gallant-sweep-1 - epoch","gallant-sweep-1 - epoch__MIN","gallant-sweep-1 - epoch__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"31","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"32","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"33","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"34","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"35","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"36","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"37","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"38","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"39","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"40","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"41","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"42","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"43","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"44","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"45","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"46","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"47","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"48","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"49","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"50","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"51","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"52","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"53","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"54","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"55","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"56","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"57","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"58","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"59","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"60","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"61","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"62","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"63","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"64","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"65","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"66","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"67","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"68","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"69","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"70","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"71","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"72","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"73","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"74","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"75","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"76","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"77","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"78","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"79","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"80","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"81","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"82","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"83","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"84","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"85","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"86","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"87","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"88","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"89","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"90","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"91","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"92","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"93","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"94","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"95","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"96","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"97","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"98","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"99","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"100","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"101","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"102","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"103","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"104","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"105","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"106","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"107","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"108","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"109","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"110","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"111","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"112","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"113","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"114","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"115","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"116","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"117","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"118","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"119","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"120","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"121","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"122","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"123","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"124","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"125","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"126","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"127","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"128","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"129","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"130","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"131","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"132","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"133","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"134","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"135","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"136","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"137","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"138","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"139","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"140","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"141","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"142","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"143","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"144","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"145","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"146","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"147","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"148","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"149","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"150","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"151","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"152","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"153","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"154","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"155","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"156","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"157","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"158","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"159","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"160","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"161","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"162","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"163","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"164","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"165","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"166","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"167","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"168","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"169","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"170","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"171","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"172","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"173","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"174","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"175","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"176","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"177","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"178","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"179","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"180","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"181","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"182","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"183","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"184","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"185","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"186","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"187","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"188","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"189","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"190","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"191","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"192","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"193","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"194","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"195","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"196","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"197","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"198","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"199","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"200","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"201","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"202","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"203","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"204","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"205","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"206","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"207","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"208","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"209","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"210","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"211","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"212","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"213","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"214","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"215","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"216","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"217","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"218","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"219","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"220","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"221","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"222","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"223","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"224","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"225","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"226","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"227","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"228","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"229","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"230","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"231","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"232","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"233","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"234","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"235","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"236","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"237","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"238","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"239","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"240","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"241","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"242","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"243","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"244","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"245","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"246","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"247","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"248","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"249","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"250","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"251","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"252","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"253","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"254","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"255","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"256","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"257","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"258","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"259","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"260","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"261","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"262","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"263","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"264","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"265","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"266","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"267","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"268","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"269","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"270","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"271","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"272","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"273","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"274","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"275","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"276","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"277","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"278","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"279","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"280","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"281","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"282","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"283","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"284","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"285","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"286","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"287","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"288","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"289","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"290","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"291","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"292","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"293","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"294","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"295","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"296","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"297","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"298","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"299","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"300","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"